"diagram_name","title","pub_year","ris","citation_short","url","pid","pid_type","accessedutc"
"hollocher_layb_thnb_geom","Geochemistry of amphibolite-facies volcanics and gabbros of the Støren Nappe in extensions west and southwest of Trondheim, western gneiss region, Norway: A key to correlations and paleotectonic settings",2012,"TY  - JOUR
AU  - Hollocher, Kurt
AU  - Robinson, Peter
AU  - Walsh, Emily
AU  - Roberts, David
PY  - 2012/04/01
SP  - 357
EP  - 416
T1  - Geochemistry of amphibolite-facies volcanics and gabbros of the Støren Nappe in extensions west and southwest of Trondheim, Western Gneiss Region, Norway: a key to correlations and paleotectonic settings
VL  - 312
DO  - 10.2475/04.2012.01
JO  - American Journal of Science
ER  - ","Hollocher et al. 2012","https://ajsonline.org/article/61897-geochemistry-of-amphibolite-facies-volcanics-and-gabbros-of-the-storen-nappe-in-extensions-west-and-southwest-of-trondheim-western-gneiss-region-nor","10.2475/04.2012.01","doi","09-08-2026"
"pearce_norry_geom","Petrogenetic Implications of Ti, Zr, Y, and Nb Variations in Volcanic Rocks",1979,"TY  - JOUR
AU  - Pearce, Julian A.
AU  - Norry, Michael J.
PY  - 1979
DA  - 1979/05/01
TI  - Petrogenetic implications of Ti, Zr, Y, and Nb variations in volcanic rocks
JO  - Contributions to Mineralogy and Petrology
SP  - 33
EP  - 47
VL  - 69
IS  - 1
AB  - Data from experimental runs, coexisting phases in ultramafic rocks and phenocryst-matrix pairs in volcanic rocks have been used to compile a table of mineral-liquid distribution coefficients for Ti, Zr, Y, and Nb for basic, intermediate and acid melt compositions. These values have then been used to interpret variations of these elements, first in basalts and second, during fractional crystallization from basic to acid magmas. For basalts, petrogenetic modelling of Zr/Y, Zr/Ti, and Zr/Nb ratios, when used in conjunction with REE, Cr and isotopic variations, suggests that: (1) the increase in Zr/Y ratio from mid-ocean ridge to within plate basalts and the low Zr/Nb ratios of alkalic basalts are due to (fluid controlled) source heterogeneities; (2) the low Zr and Zr/Y ratio of volcanic arc basalts results from high degree of partial melting of a depleted source; and (3) the high Zr and similar Zr/Y ratio of basalts from fast spreading relative to slow spreading ridges results from open-system fractional crystallization. Modelling of fractionation trends in more evolved rocks using Y-Zr, Ti-Zr and Nb-Zr diagrams highlights in particular the change in crystallizing mafic phases from island arcs (clinopyroxene-dominated) to Andean-type arcs (amphibole±biotite-dominated). These methods can be applied to altered lavas of unknown affinities to provide additional information on their genesis and eruptive environment.
SN  - 1432-0967
UR  - https://doi.org/10.1007/BF00375192
DO  - 10.1007/BF00375192
ID  - Pearce1979
ER  - ","Pearce and Norry 1979","https://link.springer.com/article/10.1007/BF00375192","10.1007/BF00375192","doi","28-04-2026"
"pearce_1984_nby_rb_geom","Trace Element Discrimination Diagrams for the Tectonic Interpretation of Granitic Rocks",1984,"TY  - JOUR
AU  - Pearce, Julian
AU  - Harris, Nigel
AU  - Tindle, A.
PY  - 1984/11/01
SP  - 956
EP  - 983
T1  - Trace Element Discrimination Diagrams for the Tectonic Interpretation of Granitic Rocks
VL  - 25
DO  - 10.1093/petrology/25.4.956
JO  - Journal of Petrology
ER  - ","Pearce et al. 1984","https://academic.oup.com/petrology/article-abstract/25/4/956/1386972","10.1093/petrology/25.4.956","doi","09-08-2026"
"pearce_1984_y_nb_geom","Trace Element Discrimination Diagrams for the Tectonic Interpretation of Granitic Rocks",1984,"TY  - JOUR
AU  - Pearce, Julian
AU  - Harris, Nigel
AU  - Tindle, A.
PY  - 1984/11/01
SP  - 956
EP  - 983
T1  - Trace Element Discrimination Diagrams for the Tectonic Interpretation of Granitic Rocks
VL  - 25
DO  - 10.1093/petrology/25.4.956
JO  - Journal of Petrology
ER  - ","Pearce et al. 1984","https://academic.oup.com/petrology/article-abstract/25/4/956/1386972","10.1093/petrology/25.4.956","doi","09-08-2026"
"pearce_1984_yb_ta_geom","Trace Element Discrimination Diagrams for the Tectonic Interpretation of Granitic Rocks",1984,"TY  - JOUR
AU  - Pearce, Julian
AU  - Harris, Nigel
AU  - Tindle, A.
PY  - 1984/11/01
SP  - 956
EP  - 983
T1  - Trace Element Discrimination Diagrams for the Tectonic Interpretation of Granitic Rocks
VL  - 25
DO  - 10.1093/petrology/25.4.956
JO  - Journal of Petrology
ER  - ","Pearce et al. 1984","https://academic.oup.com/petrology/article-abstract/25/4/956/1386972","10.1093/petrology/25.4.956","doi","09-08-2026"
"pearce_geom","Role of the sub-continental lithosphere in magma genesis at active continental margins",1983,NULL,"Pearce 1983","https://orca.cardiff.ac.uk/id/eprint/8626/","978-0906812341","isbn","09-08-2026"
"pearce_cann_ti_zr_y_geom","Tectonic setting of basic volcanic rocks determined using trace element analyses",1973,"TY  - JOUR
T1  - Tectonic setting of basic volcanic rocks determined using trace element analyses
AU  - Pearce, J.A.
AU  - Cann, J.R.
JO  - Earth and Planetary Science Letters
VL  - 19
IS  - 2
SP  - 290
EP  - 300
PY  - 1973
DA  - 1973/06/01/
SN  - 0012-821X
DO  - https://doi.org/10.1016/0012-821X(73)90129-5
UR  - https://www.sciencedirect.com/science/article/pii/0012821X73901295
AB  - Analyses for Ti, Zr, Y, Nb and Sr in over 200 basaltic rocks from different tectonic settings have been used to construct diagrams in which these settings can usually be identified. Basalts erupted within plates (ocean island and continental basalts) can be identified using a Ti-Zr-Y diagram, ocean-floor basalts, and low-potassium tholeiites and calc-alkali basalts from island arcs can be identified using a Ti-Zr diagram (for altered samples) and a Ti-Zr-Sr diagram (for fresh samples). Y/Nb is suggested as a parameter for indicating whether a basalt is of tholeiitic or alkalic nature. Analyses of dykes and pillow lavas from the Troodos Massif of Cyprus are plotted on these diagrams and appear to the tholeiitic ocean-floor rocks.
ER  - ","Pearce and Cann 1973","https://www.sciencedirect.com/science/article/pii/0012821X73901295","10.1016/0012-821X(73)90129-5","doi","09-08-2026"
"pearce_df_1_2_geom","Statistical Analysis of Major Element Patterns in Basalts",1976,"TY  - JOUR
AU  - PEARCE, J. A.
T1  - Statistical Analysis of Major Element Patterns in Basalts
PY  - 1976
Y1  - 1976/02/01
DO  - 10.1093/petrology/17.1.15
JO  - Journal of Petrology
JA  - J Petrology
VL  - 17
IS  - 1
SP  - 15
EP  - 43
SN  - 0022-3530
AB  - Discriminant analysis enables basalts from different tectonic settings to be identified on the basis of their complete major element patterns. By using discriminant functions it is possible to represent visually the separation of six tectonically defined magma types in three dimensions instead of the original eight. Analysis of variance confirms that this separation is highly significant. Numerical classification is possible by applying Bayes' decision rule, using either normal distribution functions or empirical discriminant functions. Tests on known samples showed that ocean-floor basalts, low-potassium tholeiites (from island arcs), calc-alkali basalts and shoshonites (from volcanic arcs) and within-plate basalts could be correctly classified about 90 per cent of the time by all these methods. A subdivision of within-plate basalts into ocean island and continental basalts could not however be achieved chemically with any great success. Classification of weathered and metamorphosed ocean-floor basalts showed that alteration can greatly reduce the success rate of the classification. Application of the numerical and visual methods to lavas of ‘unknown’ tectonic settings (Archaean greenstones and high-potash basalts) mostly gave geologically consistent results.
Y2  - 9/8/2026
UR  - https://doi.org/10.1093/petrology/17.1.15
ER  - 
","Pearce 1976","https://academic.oup.com/petrology/article-abstract/17/1/15/1447006","10.1093/petrology/17.1.15","doi","09-08-2026"
"pearce_df_2_3_geom","Statistical Analysis of Major Element Patterns in Basalts",1976,"TY  - JOUR
AU  - PEARCE, J. A.
T1  - Statistical Analysis of Major Element Patterns in Basalts
PY  - 1976
Y1  - 1976/02/01
DO  - 10.1093/petrology/17.1.15
JO  - Journal of Petrology
JA  - J Petrology
VL  - 17
IS  - 1
SP  - 15
EP  - 43
SN  - 0022-3530
AB  - Discriminant analysis enables basalts from different tectonic settings to be identified on the basis of their complete major element patterns. By using discriminant functions it is possible to represent visually the separation of six tectonically defined magma types in three dimensions instead of the original eight. Analysis of variance confirms that this separation is highly significant. Numerical classification is possible by applying Bayes' decision rule, using either normal distribution functions or empirical discriminant functions. Tests on known samples showed that ocean-floor basalts, low-potassium tholeiites (from island arcs), calc-alkali basalts and shoshonites (from volcanic arcs) and within-plate basalts could be correctly classified about 90 per cent of the time by all these methods. A subdivision of within-plate basalts into ocean island and continental basalts could not however be achieved chemically with any great success. Classification of weathered and metamorphosed ocean-floor basalts showed that alteration can greatly reduce the success rate of the classification. Application of the numerical and visual methods to lavas of ‘unknown’ tectonic settings (Archaean greenstones and high-potash basalts) mostly gave geologically consistent results.
Y2  - 9/8/2026
UR  - https://doi.org/10.1093/petrology/17.1.15
ER  - 
","Pearce 1976","https://academic.oup.com/petrology/article-abstract/17/1/15/1447006","10.1093/petrology/17.1.15","doi","09-08-2026"
"cabanis_lecolle_geom","Le diagramme La/10-Y/15-Nb/8: un outil pour la discrimination des séries volcaniques et la mise en évidence des processus de mélange et/ou de contamination crustale",1989,NULL,"Cabanis and Lecolle 1989","https://pascal-francis.inist.fr/vibad/index.php?action=getRecordDetail&idt=6648552","0764-4450","issn","09-08-2026"
"eby_ce_geom","Chemical subdivision of the A-type granitoids:Petrogenetic and tectonic implications",1992,"TY  - JOUR
AU  - Eby, G. Nelson
T1  - Chemical subdivision of the A-type granitoids:Petrogenetic and tectonic implications
PY  - 1992
Y1  - 1992/07/01
DO  - 10.1130/0091-7613(1992)020<0641:CSOTAT>2.3.CO;2
JO  - Geology
JA  - Geology
VL  - 20
IS  - 7
SP  - 641
EP  - 644
SN  - 0091-7613
AB  - The A-type granitoids can be divided into two chemical groups. The first group (A1) is characterized by element ratios similar to those observed for oceanic-island basalts. The second group (A2) is characterized by ratios that vary from those observed for continental crust to those observed for island-arc basalts. It is proposed that these two types have very different sources and tectonic settings. The A1 group represents differentiates of magmas derived from sources like those of oceanic-island basalts but emplaced in continental rifts or during intraplate magmatism. The A2 group represents magmas derived from continental crust or underplated crust that has been through a cycle of continent-continent collision or island-arc magmatism.
Y2  - 9/8/2026
UR  - https://doi.org/10.1130/0091-7613(1992)020<0641:CSOTAT>2.3.CO;2
ER  - ","Eby 1992","https://pubs.geoscienceworld.org/gsa/geology/article-abstract/20/7/641/205787/Chemical-subdivision-of-the-A-type-granitoids","10.1130/0091-7613(1992)020<0641:CSOTAT>2.3.CO;2","doi","09-08-2026"
"eby_ga_geom","Chemical subdivision of the A-type granitoids:Petrogenetic and tectonic implications",1992,"TY  - JOUR
AU  - Eby, G. Nelson
T1  - Chemical subdivision of the A-type granitoids:Petrogenetic and tectonic implications
PY  - 1992
Y1  - 1992/07/01
DO  - 10.1130/0091-7613(1992)020<0641:CSOTAT>2.3.CO;2
JO  - Geology
JA  - Geology
VL  - 20
IS  - 7
SP  - 641
EP  - 644
SN  - 0091-7613
AB  - The A-type granitoids can be divided into two chemical groups. The first group (A1) is characterized by element ratios similar to those observed for oceanic-island basalts. The second group (A2) is characterized by ratios that vary from those observed for continental crust to those observed for island-arc basalts. It is proposed that these two types have very different sources and tectonic settings. The A1 group represents differentiates of magmas derived from sources like those of oceanic-island basalts but emplaced in continental rifts or during intraplate magmatism. The A2 group represents magmas derived from continental crust or underplated crust that has been through a cycle of continent-continent collision or island-arc magmatism.
Y2  - 9/8/2026
UR  - https://doi.org/10.1130/0091-7613(1992)020<0641:CSOTAT>2.3.CO;2
ER  - ","Eby 1992","https://pubs.geoscienceworld.org/gsa/geology/article-abstract/20/7/641/205787/Chemical-subdivision-of-the-A-type-granitoids","10.1130/0091-7613(1992)020<0641:CSOTAT>2.3.CO;2","doi","09-08-2026"
"feldspar_geom","Volume 4: Framework Silicates",1963,NULL,"Deer et al. 1963","https://www.nature.com/articles/200003a0","10.1038/200003a0","doi","09-08-2026"
"frost_and_frost_geom","A Geochemical Classification for Feldspathic Igneous Rocks",2008,"TY  - JOUR
AU  - Frost, B.
AU  - Frost, Carol
PY  - 2008/11/07
SP  - 1955
EP  - 1969
T1  - A Geochemical Classification for Feldspathic Igneous Rocks
VL  - 49
DO  - 10.1093/petrology/egn054
JO  - Journal of Petrology
ER  - ","Frost and Frost 2008","https://academic.oup.com/petrology/article-abstract/49/11/1955/1452558","10.1093/petrology/egn054","doi","09-08-2026"
"meschede_geom","A method of discriminating between different types of mid-ocean ridge basalts and continental tholeiites with the Nb-Zr-Y diagram",1986,"TY  - JOUR
T1  - A method of discriminating between different types of mid-ocean ridge basalts and continental tholeiites with the Nb-Zr-Y diagram
AU  - Meschede, Martin
JO  - Chemical Geology
VL  - 56
IS  - 3
SP  - 207
EP  - 218
PY  - 1986
DA  - 1986/10/20/
SN  - 0009-2541
DO  - https://doi.org/10.1016/0009-2541(86)90004-5
UR  - https://www.sciencedirect.com/science/article/pii/0009254186900045
AB  - Analyses of more than 1800 basaltic rocks from different geotectonic settings define a new discrimination diagram using the immobile trace elements Nb, Zr and Y. The diagram distinguishes between different types of mid-ocean ridge basalts (“MORB”, including “N-type MORB”, from normal mid-ocean ridges and “P-type MORB”, from plume-influenced regions), within-plate tholeiites (WPT), and within-plate alkali basalts (WPA). Volcanic arc basalts (VAB) plot within both WPT and N-type MORB fields and thus cannot be distinguished from these types. Ancient continental tholeiites which plot in the conventional Ti?1bZr?1bY diagram within the MORB/VAB field are clearly distinguished from N-type MORB.
ER  - ","Meschede 1986","https://www.sciencedirect.com/science/article/abs/pii/0009254186900045","10.1016/0009-2541(86)90004-5","doi","09-08-2026"
